vendor_id,vendor_name,vendor_type,annual_spend,risk_score,contract_start,contract_end,soc2,soc2_expiry,iso27001,iso27001_expiry,gdpr_dpa,breach_status,breach_date,under_investigation,access_type,data_sensitivity,current_access
VND-0021,Prime Systems 21,Software,76377,76,2025-03-10,2025-11-18,False,,False,,True,False,,False,Application,LOW,True
VND-0022,Blue Analytics 22,Cloud Services,916054,42,2024-09-23,2025-08-17,False,,False,,False,False,,False,Application,MEDIUM,False
VND-0023,Blue Networks 23,Cloud Services,933985,52,2026-02-02,2026-10-15,False,,True,2025-09-19,True,False,,False,Application,MEDIUM,False
VND-0024,Vertex Cloud 24,Infrastructure,361806,43,2025-05-28,2026-01-13,True,2027-08-31,True,2026-05-06,True,False,,False,Application,MEDIUM,False
VND-0025,Titan Partners 25,Data Analytics,651795,72,2025-08-10,2026-05-03,False,,False,,False,False,,False,SFTP,LOW,True
VND-0026,Nova Solutions 26,Security,68474,42,2025-10-20,2027-02-16,False,,False,,True,False,,False,API,MEDIUM,True
VND-0027,Titan Systems 27,Infrastructure,1163135,38,2025-08-11,2027-01-15,True,2026-08-12,True,2027-08-04,True,False,,False,Database,LOW,True
VND-0028,Nova Cloud 28,Software,291489,20,2026-01-16,2027-07-10,True,2026-11-11,False,,True,False,,False,Database,LOW,False
VND-0029,Titan Partners 29,Cloud Services,643232,66,2024-07-18,2025-02-12,False,,True,2027-05-08,True,False,,False,Application,LOW,True
VND-0030,Prime Systems 30,Infrastructure,1159494,95,2024-09-10,2025-09-01,True,2026-02-15,True,2026-05-12,True,False,,True,Application,LOW,False
VND-0031,Titan Networks 31,Payment Processing,676004,26,2025-02-04,2026-06-29,True,2027-08-07,True,2025-09-03,True,False,,False,Application,LOW,True
VND-0032,Prime Solutions 32,Security,366098,74,2026-04-25,2027-08-02,True,2027-06-03,True,2026-08-12,False,False,,False,Database,MEDIUM,True
VND-0033,Secure Cloud 33,Payment Processing,418273,48,2025-11-18,2026-12-12,True,2027-01-23,True,2026-11-04,True,False,,True,Database,HIGH,False
VND-0034,Titan Systems 34,Cloud Services,1119878,61,2025-07-04,2025-12-01,True,2025-08-10,True,2025-07-02,False,False,,False,API,LOW,True
VND-0035,Prime Networks 35,Consulting,720317,89,2026-02-28,2026-10-30,True,2026-09-25,False,,True,False,,False,SFTP,LOW,True
VND-0036,Apex Analytics 36,Software,667077,52,2025-02-07,2026-04-13,True,2026-03-21,False,,True,False,,False,API,MEDIUM,True
VND-0037,Titan Analytics 37,Consulting,273228,82,2025-12-02,2026-10-26,True,2027-03-26,True,2027-10-02,True,False,,False,SFTP,MEDIUM,True
VND-0038,Nova Networks 38,Infrastructure,316587,28,2025-10-22,2026-03-12,True,2026-01-15,False,,False,False,,False,API,LOW,False
VND-0039,Secure Labs 39,Cloud Services,313475,70,2024-10-28,2026-01-19,True,2025-07-03,False,,False,False,,False,Database,HIGH,False
VND-0040,Secure Cloud 40,Security,358187,57,2025-04-06,2026-07-26,False,,True,2026-09-29,False,False,,False,API,HIGH,False
VND-0041,Secure Services 41,Compliance,563722,75,2025-11-09,2026-04-22,False,,True,2025-11-16,True,False,,False,SFTP,LOW,True
VND-0042,Quantum Services 42,Software,1186301,50,2026-05-09,2026-08-16,True,2027-10-15,True,2026-12-15,True,True,2026-03-25,False,Database,MEDIUM,True
VND-0043,Titan Labs 43,Security,408573,80,2024-12-08,2025-10-11,False,,True,2026-08-30,False,False,,False,Portal,LOW,False
VND-0044,Blue Services 44,Cloud Services,855220,83,2026-02-26,2027-02-17,False,,False,,True,False,,False,SFTP,LOW,False
VND-0045,Nova Partners 45,Payment Processing,878177,27,2026-01-02,2026-08-04,False,,False,,True,False,,False,Application,MEDIUM,True
VND-0046,Quantum Partners 46,Software,223560,55,2026-01-01,2026-09-02,True,2026-08-26,False,,True,False,,False,Database,MEDIUM,False
VND-0047,Quantum Services 47,Software,1029404,38,2025-09-03,2026-10-28,True,2025-11-12,True,2027-07-07,False,False,,False,Application,MEDIUM,True
VND-0048,Secure Services 48,Consulting,1160564,56,2025-01-30,2026-02-05,True,2027-08-11,False,,False,True,2023-11-06,False,Portal,LOW,True
VND-0049,Titan Labs 49,Cloud Services,382858,94,2025-01-13,2025-10-15,True,2027-10-08,False,,True,False,,False,Application,LOW,True
VND-0050,Blue Partners 50,Cloud Services,257219,75,2024-08-28,2025-07-18,False,,True,2025-09-04,True,False,,False,Database,LOW,True
VND-0051,Apex Services 51,Payment Processing,1067676,55,2025-08-26,2026-08-17,True,2027-04-20,True,2027-03-02,True,True,2023-11-24,False,Portal,HIGH,False
VND-0052,Apex Services 52,Software,842036,44,2025-03-11,2026-02-19,True,2027-09-22,True,2027-02-19,False,False,,False,Database,HIGH,False
VND-0053,Titan Networks 53,Cloud Services,162988,92,2025-06-18,2026-06-08,True,2027-05-07,False,,True,False,,False,Portal,MEDIUM,True
VND-0054,Vertex Analytics 54,Compliance,716960,68,2024-12-16,2026-04-03,False,,False,,True,False,,False,SFTP,MEDIUM,False
VND-0055,Blue Cloud 55,Compliance,1144714,46,2025-09-28,2026-04-02,True,2027-11-28,False,,True,True,2024-04-27,False,API,HIGH,True
VND-0056,Vertex Cloud 56,Infrastructure,844012,54,2025-11-17,2026-09-27,True,2026-12-17,True,2027-02-08,False,False,,False,Database,HIGH,True
VND-0057,Quantum Partners 57,Consulting,774143,51,2025-02-01,2026-01-04,True,2027-01-22,True,2026-06-02,True,False,,False,Database,MEDIUM,False
VND-0058,Blue Networks 58,Payment Processing,1110955,38,2025-10-08,2026-05-07,False,,True,2026-02-25,True,False,,True,API,HIGH,True
VND-0059,Secure Analytics 59,Infrastructure,34951,68,2024-10-05,2025-08-02,True,2027-07-29,False,,False,False,,False,Application,MEDIUM,True
VND-0060,Prime Analytics 60,Software,1042209,51,2025-04-11,2026-09-02,True,2026-09-23,False,,True,False,,False,API,LOW,True
VND-0061,Blue Partners 61,Consulting,907371,86,2024-07-04,2025-04-15,False,,False,,True,True,2025-06-29,False,Application,MEDIUM,True
VND-0062,Apex Analytics 62,Data Analytics,794157,62,2025-11-14,2027-02-20,True,2026-09-03,True,2027-02-17,True,False,,False,Application,MEDIUM,False
VND-0063,Secure Networks 63,Data Analytics,374509,71,2025-12-15,2026-06-20,False,,False,,True,False,,False,SFTP,MEDIUM,True
VND-0064,Nova Networks 64,Data Analytics,689204,52,2026-01-07,2027-06-28,False,,False,,True,True,2025-09-11,False,API,HIGH,True
VND-0065,Vertex Solutions 65,Cloud Services,565793,42,2025-08-18,2026-08-11,False,,False,,True,False,,False,Portal,MEDIUM,True
VND-0066,Secure Cloud 66,Data Analytics,1049260,20,2024-08-29,2025-12-21,True,2026-11-30,True,2026-12-31,True,False,,False,Database,LOW,True
VND-0067,Titan Cloud 67,Cloud Services,826315,47,2024-12-08,2026-04-29,False,,True,2027-10-02,False,False,,False,Portal,MEDIUM,False
VND-0068,Secure Systems 68,Payment Processing,225695,75,2025-06-07,2026-08-25,False,,True,2027-04-10,True,True,2025-11-13,True,API,LOW,False
VND-0069,Secure Analytics 69,Cloud Services,308662,65,2025-09-14,2026-03-24,True,2027-07-23,True,2026-05-04,True,True,2025-03-27,False,Application,LOW,False
VND-0070,Quantum Services 70,Cloud Services,1080373,54,2024-11-04,2025-07-20,True,2027-05-19,False,,True,False,,False,SFTP,MEDIUM,True
VND-0071,Secure Labs 71,Security,968780,79,2024-07-27,2025-11-02,True,2027-06-29,True,2027-10-12,True,False,,False,SFTP,LOW,False
VND-0072,Quantum Partners 72,Data Analytics,257853,83,2025-10-18,2026-10-01,True,2027-12-04,False,,True,False,,False,SFTP,HIGH,True
VND-0073,Vertex Partners 73,Consulting,299923,70,2025-05-22,2026-05-28,True,2027-10-22,True,2025-12-05,False,False,,False,Portal,LOW,True
VND-0074,Secure Services 74,Infrastructure,952056,56,2025-01-20,2026-02-07,True,2026-04-30,False,,True,True,2023-11-08,False,Database,HIGH,True
VND-0075,Quantum Networks 75,Data Analytics,585405,36,2026-05-02,2026-10-14,False,,False,,True,False,,True,API,HIGH,True
VND-0076,Nova Labs 76,Infrastructure,820530,77,2026-03-27,2027-05-25,False,,True,2026-08-12,True,False,,False,SFTP,LOW,True
VND-0077,Blue Cloud 77,Security,1104230,61,2026-01-31,2026-12-18,False,,True,2025-09-13,True,True,2024-09-10,False,API,HIGH,True
VND-0078,Apex Labs 78,Software,597774,82,2025-11-24,2026-06-07,True,2027-10-07,True,2026-11-02,True,False,,False,Portal,MEDIUM,True
VND-0079,Titan Services 79,Payment Processing,398919,93,2026-04-04,2027-01-11,True,2026-09-03,True,2027-07-11,True,False,,False,SFTP,LOW,False
VND-0080,Vertex Systems 80,Software,340583,28,2025-09-21,2026-05-19,False,,True,2026-10-11,True,False,,False,Application,LOW,False
VND-0081,Prime Labs 81,Cloud Services,379390,92,2025-05-28,2026-03-11,True,2026-03-26,False,,True,False,,True,SFTP,MEDIUM,False
VND-0082,Prime Services 82,Security,951148,75,2026-04-16,2027-08-14,False,,False,,True,True,2024-03-13,False,Application,MEDIUM,True
VND-0083,Quantum Partners 83,Compliance,147970,73,2026-02-07,2026-11-19,False,,False,,True,False,,False,Database,LOW,True
VND-0084,Quantum Systems 84,Data Analytics,513077,87,2024-10-06,2025-05-01,False,,False,,True,False,,False,SFTP,HIGH,True
VND-0085,Prime Networks 85,Infrastructure,988121,59,2024-10-13,2026-03-11,True,2026-04-11,False,,False,False,,True,Database,MEDIUM,False
VND-0086,Titan Systems 86,Software,1041017,20,2024-11-29,2026-04-26,True,2026-02-19,True,2025-12-30,True,True,2025-04-05,False,Application,LOW,True
VND-0087,Apex Cloud 87,Compliance,533512,90,2025-05-26,2026-05-18,True,2027-05-14,False,,True,False,,False,Application,LOW,False
VND-0088,Secure Analytics 88,Software,366380,71,2025-03-10,2026-07-09,True,2025-11-28,True,2027-01-23,True,False,,False,Database,HIGH,True
VND-0089,Secure Services 89,Cloud Services,633454,75,2026-02-10,2026-10-13,True,2027-02-25,True,2025-06-22,True,False,,False,Database,MEDIUM,False
VND-0090,Vertex Services 90,Security,1157801,75,2025-06-01,2026-11-13,False,,True,2026-06-02,True,False,,False,Application,MEDIUM,True
VND-0091,Prime Analytics 91,Security,697912,72,2025-04-19,2025-10-03,True,2026-09-13,True,2026-12-08,False,False,,False,Application,LOW,True
VND-0092,Quantum Solutions 92,Infrastructure,885300,48,2025-11-11,2026-03-12,True,2026-10-15,True,2027-05-10,True,True,2025-11-19,False,Portal,HIGH,True
VND-0093,Blue Services 93,Compliance,173535,85,2024-07-03,2025-02-20,False,,False,,True,False,,False,Portal,MEDIUM,False
VND-0094,Nova Analytics 94,Infrastructure,1123678,72,2025-07-07,2025-12-06,False,,False,,True,False,,False,Application,HIGH,True
VND-0095,Vertex Analytics 95,Software,383765,92,2026-05-06,2027-03-16,True,2027-08-08,False,,True,False,,False,Application,LOW,False
VND-0096,Nova Cloud 96,Software,648855,47,2025-04-08,2026-07-12,False,,True,2027-09-02,True,False,,False,Application,LOW,True
VND-0097,Prime Partners 97,Infrastructure,1138800,69,2024-10-16,2025-06-13,False,,True,2026-12-24,False,False,,False,SFTP,MEDIUM,False
VND-0098,Titan Solutions 98,Cloud Services,924440,63,2024-09-10,2024-12-31,False,,True,2026-08-02,True,False,,False,Database,LOW,True
VND-0099,Prime Systems 99,Consulting,139178,54,2025-08-10,2026-03-14,False,,True,2027-03-23,False,False,,False,SFTP,LOW,True
VND-0100,Titan Cloud 100,Compliance,268626,28,2025-02-05,2026-02-11,True,2026-12-24,True,2025-09-22,True,True,2024-10-19,False,Database,HIGH,False
VND-0101,Nova Cloud 101,Data Analytics,1077630,44,2025-08-25,2025-12-07,False,,False,,True,True,2023-07-09,False,Database,LOW,True
VND-0102,Secure Systems 102,Cloud Services,530159,33,2025-02-06,2025-12-29,False,,True,2026-12-21,True,False,,False,API,LOW,False
VND-0103,Prime Services 103,Consulting,1113437,59,2026-02-01,2027-06-24,False,,False,,True,False,,False,SFTP,LOW,True
VND-0104,Nova Partners 104,Infrastructure,710376,66,2024-09-12,2025-06-02,True,2027-01-02,False,,True,False,,False,Application,LOW,False
VND-0105,Prime Solutions 105,Consulting,1182737,40,2025-10-16,2027-01-23,False,,False,,True,False,,False,Application,LOW,True
VND-0106,Titan Services 106,Payment Processing,1086453,67,2025-04-13,2026-05-11,True,2027-09-23,True,2027-01-17,True,False,,False,SFTP,MEDIUM,False
VND-0107,Prime Cloud 107,Software,1092838,82,2025-02-04,2025-11-10,True,2026-09-16,True,2026-10-26,True,False,,False,API,LOW,False
VND-0108,Nova Systems 108,Infrastructure,575045,56,2024-09-17,2025-12-19,True,2027-08-28,True,2027-07-05,True,False,,True,Database,HIGH,False
VND-0109,Prime Networks 109,Infrastructure,388454,29,2025-02-03,2026-05-14,True,2027-04-22,False,,False,False,,False,Portal,LOW,True
VND-0110,Nova Networks 110,Security,790436,66,2026-04-25,2027-08-24,False,,True,2026-02-06,False,True,2023-08-20,False,Portal,HIGH,False
VND-0111,Blue Analytics 111,Software,1156038,49,2024-07-13,2024-12-06,False,,False,,True,False,,False,Database,MEDIUM,False
VND-0112,Secure Solutions 112,Software,229316,59,2025-08-19,2026-02-09,True,2025-09-23,True,2026-03-01,True,True,2026-02-24,False,Application,LOW,False
VND-0113,Blue Networks 113,Data Analytics,1081894,66,2024-07-20,2024-12-18,True,2026-09-18,False,,False,False,,False,API,MEDIUM,True
VND-0114,Secure Services 114,Compliance,1000165,65,2025-01-10,2025-11-25,True,2027-01-03,True,2025-07-27,False,False,,False,API,MEDIUM,False
VND-0115,Apex Solutions 115,Compliance,1073271,84,2025-04-08,2026-03-15,True,2027-11-22,True,2027-08-13,True,False,,False,Database,LOW,True
VND-0116,Quantum Services 116,Data Analytics,682081,22,2026-01-03,2027-01-04,False,,False,,False,True,2024-10-28,False,Database,MEDIUM,False
VND-0117,Vertex Partners 117,Data Analytics,374386,21,2025-07-26,2026-02-21,True,2027-09-15,True,2025-10-23,True,False,,False,SFTP,HIGH,False
VND-0118,Vertex Partners 118,Compliance,663481,49,2025-03-02,2026-02-28,True,2027-05-22,False,,True,False,,False,Portal,MEDIUM,True
VND-0119,Prime Labs 119,Consulting,325236,69,2026-04-25,2027-09-24,True,2026-08-08,False,,True,False,,False,Portal,MEDIUM,False
VND-0120,Nova Cloud 120,Cloud Services,256162,78,2025-04-26,2025-10-11,False,,True,2025-10-01,True,False,,False,Application,HIGH,False
VND-0121,Nova Partners 121,Software,352170,59,2026-05-08,2027-02-08,False,,False,,True,False,,False,API,LOW,False
VND-0122,Apex Cloud 122,Cloud Services,939785,73,2025-06-27,2026-04-18,True,2026-10-12,False,,True,False,,False,Portal,MEDIUM,True
VND-0123,Titan Networks 123,Payment Processing,154442,43,2026-01-18,2026-07-08,False,,False,,True,False,,False,SFTP,MEDIUM,False
VND-0124,Quantum Systems 124,Security,926736,89,2024-09-08,2025-04-13,True,2027-08-25,True,2025-11-08,True,False,,False,Application,HIGH,True
VND-0125,Nova Partners 125,Data Analytics,1158563,40,2025-02-19,2026-08-05,False,,True,2026-10-06,False,False,,False,API,MEDIUM,False
VND-0126,Secure Services 126,Cloud Services,269551,58,2025-10-01,2026-07-09,True,2027-07-14,True,2025-09-16,False,True,2024-10-17,False,API,LOW,False
VND-0127,Nova Cloud 127,Payment Processing,966806,40,2025-11-30,2026-04-12,False,,True,2027-04-17,False,False,,False,Database,MEDIUM,False
VND-0128,Titan Partners 128,Data Analytics,850731,77,2026-01-11,2026-11-12,True,2025-12-03,True,2026-09-21,True,False,,False,Application,LOW,False
VND-0129,Blue Systems 129,Infrastructure,1124479,48,2026-01-24,2027-06-19,True,2027-07-07,True,2025-09-13,True,False,,False,SFTP,LOW,True
VND-0130,Nova Analytics 130,Payment Processing,103644,51,2026-04-01,2027-05-27,False,,False,,True,False,,False,Database,HIGH,False
VND-0131,Blue Solutions 131,Data Analytics,1058923,70,2025-03-29,2026-02-22,False,,True,2026-09-22,True,False,,False,API,LOW,False
VND-0132,Secure Services 132,Software,1007431,67,2025-08-10,2026-02-27,True,2025-08-01,False,,True,False,,False,Application,LOW,True
VND-0133,Titan Networks 133,Data Analytics,171267,93,2025-04-05,2025-12-06,False,,False,,True,False,,False,SFTP,LOW,False
VND-0134,Quantum Labs 134,Cloud Services,335511,62,2026-04-20,2026-11-21,True,2025-10-17,False,,True,False,,False,Portal,MEDIUM,True
VND-0135,Blue Systems 135,Software,424124,23,2025-02-26,2026-05-14,True,2025-12-11,True,2027-08-16,False,False,,False,SFTP,LOW,True
VND-0136,Secure Cloud 136,Payment Processing,783395,92,2025-08-19,2026-06-21,True,2027-07-04,False,,True,False,,False,SFTP,LOW,False
VND-0137,Titan Cloud 137,Cloud Services,727291,88,2025-08-28,2026-07-18,False,,True,2026-09-20,True,False,,False,Portal,LOW,False
VND-0138,Quantum Solutions 138,Consulting,460961,57,2024-08-17,2025-08-14,True,2027-09-16,False,,False,False,,False,API,MEDIUM,False
VND-0139,Blue Cloud 139,Infrastructure,98163,37,2026-03-11,2026-12-20,True,2026-01-09,True,2027-02-25,True,False,,False,API,HIGH,False
VND-0140,Quantum Analytics 140,Security,546844,30,2026-05-07,2027-10-25,True,2027-06-11,False,,False,False,,False,Database,HIGH,True
VND-0141,Vertex Solutions 141,Security,596121,67,2025-04-01,2026-04-24,True,2025-10-17,False,,True,False,,False,API,LOW,True
VND-0142,Vertex Labs 142,Cloud Services,474001,60,2024-08-01,2025-08-16,False,,False,,True,False,,False,SFTP,LOW,True
VND-0143,Quantum Solutions 143,Infrastructure,213047,39,2024-10-03,2025-12-16,False,,False,,False,False,,True,API,LOW,False
VND-0144,Blue Solutions 144,Software,707848,75,2025-03-26,2026-07-16,True,2026-01-19,True,2025-08-01,True,False,,False,Database,LOW,True
VND-0145,Blue Analytics 145,Cloud Services,112179,50,2024-12-13,2025-05-17,False,,False,,True,False,,False,SFTP,MEDIUM,False
VND-0146,Vertex Solutions 146,Consulting,92409,26,2025-05-10,2026-01-15,True,2026-10-12,False,,True,False,,False,Application,MEDIUM,False
VND-0147,Nova Systems 147,Data Analytics,757824,82,2025-03-09,2025-10-01,True,2026-12-25,False,,False,False,,False,Portal,MEDIUM,False
VND-0148,Secure Cloud 148,Software,421982,87,2024-07-07,2025-04-24,True,2026-01-13,False,,True,False,,False,Application,LOW,True
VND-0149,Titan Solutions 149,Payment Processing,310633,87,2025-05-31,2025-12-23,True,2027-06-04,True,2027-09-18,True,False,,False,SFTP,MEDIUM,True
VND-0150,Vertex Cloud 150,Consulting,82100,89,2024-11-30,2025-06-10,True,2027-11-04,False,,True,False,,False,Database,LOW,False
VND-0151,Vertex Solutions 151,Infrastructure,525704,24,2025-07-03,2025-11-19,False,,True,2027-06-06,True,False,,False,Application,MEDIUM,True
VND-0152,Quantum Labs 152,Data Analytics,749164,67,2024-09-04,2025-07-21,True,2027-06-08,True,2027-01-04,True,False,,False,Application,LOW,False
VND-0153,Titan Services 153,Payment Processing,1138635,46,2025-11-19,2026-09-19,True,2027-03-28,False,,True,False,,False,Database,MEDIUM,True
VND-0154,Apex Systems 154,Consulting,660665,93,2025-10-16,2026-07-31,False,,False,,True,False,,False,SFTP,LOW,True
VND-0155,Apex Analytics 155,Data Analytics,420719,43,2025-03-11,2026-02-02,True,2026-06-13,True,2027-07-25,False,False,,False,Portal,MEDIUM,True
VND-0156,Blue Solutions 156,Consulting,692511,68,2025-05-15,2026-08-23,False,,False,,False,True,2024-09-08,True,Application,MEDIUM,False
VND-0157,Apex Networks 157,Security,384516,21,2026-01-20,2026-06-30,True,2025-06-20,False,,True,False,,True,Database,LOW,True
VND-0158,Nova Labs 158,Infrastructure,116701,56,2025-11-02,2026-04-15,True,2027-04-08,True,2027-07-24,True,False,,False,SFTP,MEDIUM,False
VND-0159,Prime Labs 159,Cloud Services,712938,48,2025-05-24,2026-01-27,True,2026-11-09,True,2026-09-25,True,False,,False,Database,HIGH,True
VND-0160,Apex Services 160,Software,880449,27,2025-11-19,2027-04-20,True,2026-10-03,True,2027-05-10,True,False,,False,Application,MEDIUM,False
VND-0161,Blue Networks 161,Software,344384,89,2025-09-27,2026-08-21,True,2027-03-28,True,2026-09-20,True,False,,False,Database,MEDIUM,True
VND-0162,Quantum Services 162,Cloud Services,522770,73,2024-11-10,2025-10-18,True,2027-06-26,True,2027-03-10,True,False,,False,Portal,LOW,True
VND-0163,Apex Networks 163,Security,242030,60,2025-11-07,2026-04-13,True,2025-09-01,False,,True,False,,False,Database,MEDIUM,False
VND-0164,Titan Services 164,Data Analytics,185184,24,2024-08-29,2025-06-27,True,2026-02-24,True,2026-10-30,False,False,,False,Application,LOW,False
VND-0165,Vertex Cloud 165,Cloud Services,166539,26,2024-10-13,2025-08-11,False,,True,2026-04-12,True,False,,False,Portal,MEDIUM,True
VND-0166,Apex Labs 166,Consulting,395780,62,2025-09-04,2025-12-29,False,,False,,False,False,,False,Portal,LOW,False
VND-0167,Quantum Partners 167,Software,291994,51,2025-07-12,2026-02-28,True,2027-04-14,False,,True,False,,False,Application,MEDIUM,False
VND-0168,Quantum Labs 168,Data Analytics,1022386,68,2025-08-18,2025-12-14,True,2026-08-31,False,,False,False,,False,Database,MEDIUM,False
VND-0169,Titan Systems 169,Cloud Services,942033,37,2026-05-05,2027-03-17,True,2027-10-16,True,2026-09-30,True,False,,False,Portal,MEDIUM,True
VND-0170,Quantum Cloud 170,Consulting,58770,86,2025-03-22,2025-10-30,False,,False,,True,False,,False,Database,HIGH,False
VND-0171,Secure Labs 171,Consulting,605602,63,2024-11-30,2025-03-12,True,2026-08-04,False,,True,True,2023-10-13,True,SFTP,LOW,True
VND-0172,Blue Cloud 172,Cloud Services,156493,62,2025-08-12,2026-05-08,True,2027-02-05,True,2026-08-17,False,True,2026-01-22,False,SFTP,MEDIUM,False
VND-0173,Titan Networks 173,Consulting,1052828,32,2025-04-20,2026-04-07,True,2026-09-23,True,2027-05-28,True,False,,True,SFTP,LOW,True
VND-0174,Blue Systems 174,Consulting,133859,39,2025-12-22,2026-11-18,True,2026-01-10,False,,False,False,,False,Application,MEDIUM,False
VND-0175,Nova Solutions 175,Cloud Services,1188663,75,2025-03-04,2026-04-08,False,,False,,True,False,,False,API,MEDIUM,False
VND-0176,Apex Services 176,Data Analytics,136499,29,2026-04-12,2026-08-05,True,2026-04-08,True,2027-07-24,True,False,,False,Database,LOW,False
VND-0177,Vertex Partners 177,Infrastructure,974054,82,2026-04-07,2027-03-04,True,2027-09-29,False,,False,False,,False,SFTP,LOW,False
VND-0178,Titan Systems 178,Cloud Services,175448,62,2025-06-09,2025-12-12,True,2026-05-04,True,2027-01-26,True,True,2023-08-10,False,Portal,MEDIUM,False
VND-0179,Nova Networks 179,Payment Processing,538593,84,2025-02-21,2026-02-14,False,,False,,False,False,,False,Portal,LOW,False
VND-0180,Secure Cloud 180,Infrastructure,507148,58,2025-05-30,2026-05-26,False,,True,2026-10-20,True,False,,False,API,HIGH,True
VND-0181,Quantum Systems 181,Payment Processing,677930,29,2025-01-28,2025-12-16,True,2025-08-14,False,,True,False,,False,Application,LOW,False
VND-0182,Nova Partners 182,Security,903928,70,2025-01-02,2025-04-06,True,2027-06-28,False,,False,False,,False,Application,MEDIUM,False
VND-0183,Blue Services 183,Compliance,739532,86,2025-03-11,2025-11-26,True,2027-12-11,False,,True,True,2025-08-27,False,Application,HIGH,True
VND-0184,Vertex Solutions 184,Compliance,1022040,34,2024-12-22,2025-11-25,False,,True,2026-12-01,False,False,,False,SFTP,MEDIUM,True
VND-0185,Nova Networks 185,Consulting,401652,32,2025-08-06,2026-02-19,False,,True,2026-10-08,True,False,,True,Portal,LOW,True
VND-0186,Nova Systems 186,Security,1137135,68,2026-05-20,2026-08-28,False,,False,,False,False,,False,Application,MEDIUM,False
VND-0187,Blue Solutions 187,Consulting,218075,45,2026-04-17,2027-03-16,True,2026-11-20,True,2027-08-05,True,True,2026-02-25,False,API,LOW,False
VND-0188,Quantum Partners 188,Infrastructure,1185365,66,2025-04-25,2025-10-13,True,2027-03-30,False,,True,True,2026-01-31,False,SFTP,MEDIUM,True
VND-0189,Blue Systems 189,Software,1041050,25,2025-01-04,2025-10-12,True,2026-07-27,True,2026-05-17,True,False,,False,Application,MEDIUM,True
VND-0190,Vertex Cloud 190,Infrastructure,868339,94,2025-05-05,2026-01-04,False,,True,2025-10-30,False,False,,False,Application,LOW,True
VND-0191,Blue Analytics 191,Consulting,1008864,80,2025-04-11,2026-08-01,True,2027-07-16,True,2025-08-15,True,False,,False,Application,LOW,True
VND-0192,Blue Systems 192,Consulting,937036,94,2026-05-21,2027-02-24,True,2026-08-11,False,,True,False,,False,API,LOW,False
