vendor_id,vendor_name,vendor_type,risk_score,predicted_severity,prediction_confidence,severity_rank,priority_score,risk_drivers
VND-0342,Apex Networks 342,Compliance,95,HIGH,0.8771597163401489,3,195.31479149020447,"High Risk Score, Active Access After Contract Expiry, Missing ISO27001"
VND-0288,Prime Solutions 288,Cloud Services,94,HIGH,0.8802182594396568,3,195.2065477831897,"High Risk Score, Missing SOC2, Missing ISO27001"
VND-0360,Blue Solutions 360,Consulting,91,HIGH,0.8965150531355763,3,195.09545159406727,"High Risk Score, Missing SOC2, Missing ISO27001"
VND-0084,Quantum Systems 84,Data Analytics,87,HIGH,0.9206486172535464,3,195.0194585176064,"High Risk Score, Active Access After Contract Expiry, Missing SOC2, Missing ISO27001, High Data Sensitivity"
VND-0150,Vertex Cloud 150,Consulting,89,HIGH,0.9060689026264392,3,194.9820670787932,"High Risk Score, Missing ISO27001"
VND-0308,Titan Networks 308,Cloud Services,86,HIGH,0.9219681059031867,3,194.8590431770956,"High Risk Score, Missing SOC2, Missing ISO27001"
VND-0294,Prime Analytics 294,Software,87,HIGH,0.9150738536859425,3,194.85221561057827,"High Risk Score, Active Access After Contract Expiry, Missing ISO27001, High Data Sensitivity"
VND-0393,Titan Labs 393,Consulting,88,HIGH,0.9059725853101951,3,194.77917755930585,High Risk Score
VND-0197,Nova Systems 197,Cloud Services,88,HIGH,0.9035441064293858,3,194.70632319288157,"High Risk Score, Active Access After Contract Expiry, Missing ISO27001"
VND-0137,Titan Cloud 137,Cloud Services,88,HIGH,0.9030403544605583,3,194.69121063381675,"High Risk Score, Missing SOC2"
VND-0340,Prime Partners 340,Data Analytics,93,HIGH,0.8692241685955078,3,194.67672505786524,"High Risk Score, Missing ISO27001"
VND-0136,Secure Cloud 136,Payment Processing,92,HIGH,0.8749946758796981,3,194.64984027639096,"High Risk Score, Missing ISO27001"
VND-0249,Nova Partners 249,Infrastructure,91,HIGH,0.8799985327516257,3,194.59995598254875,"High Risk Score, Active Access After Contract Expiry, Missing ISO27001"
VND-0095,Vertex Analytics 95,Software,92,HIGH,0.8719983528718709,3,194.55995058615613,"High Risk Score, Missing ISO27001"
VND-0390,Vertex Partners 390,Cloud Services,88,HIGH,0.8952708760335346,3,194.45812628100603,"High Risk Score, Missing ISO27001"
VND-0355,Prime Services 355,Compliance,93,HIGH,0.8590578695390922,3,194.37173608617277,"High Risk Score, Active Access After Contract Expiry, Missing SOC2, Missing ISO27001, High Data Sensitivity"
VND-0330,Prime Solutions 330,Payment Processing,88,HIGH,0.8913083243906178,3,194.33924973171852,"High Risk Score, Missing SOC2, Missing ISO27001"
VND-0268,Nova Services 268,Software,89,HIGH,0.8804823732890503,3,194.21447119867153,"High Risk Score, Active Access After Contract Expiry"
VND-0290,Secure Analytics 290,Security,91,HIGH,0.865,3,194.14999999999998,"High Risk Score, Expired Certifications, High Data Sensitivity"
VND-0037,Titan Analytics 37,Consulting,82,HIGH,0.9188088157800344,3,193.96426447340104,High Risk Score
VND-0242,Quantum Services 242,Payment Processing,85,HIGH,0.8984600760456274,3,193.95380228136884,"High Risk Score, Active Access After Contract Expiry, Expired Certifications"
VND-0256,Prime Cloud 256,Consulting,87,HIGH,0.8850379050518075,3,193.95113715155424,"High Risk Score, Active Access After Contract Expiry, Missing SOC2, Missing ISO27001"
VND-0087,Apex Cloud 87,Compliance,90,HIGH,0.8640753790644008,3,193.92226137193202,"High Risk Score, Missing ISO27001"
VND-0366,Apex Networks 366,Security,89,HIGH,0.8687845312382803,3,193.8635359371484,"High Risk Score, Missing ISO27001"
VND-0013,Nova Services 13,Cloud Services,95,HIGH,0.8268488408646815,3,193.80546522594045,"High Risk Score, Missing ISO27001"
VND-0284,Nova Cloud 284,Cloud Services,86,HIGH,0.8857792867839268,3,193.77337860351778,"High Risk Score, Active Access After Contract Expiry, Missing ISO27001, High Data Sensitivity"
VND-0035,Prime Networks 35,Consulting,89,HIGH,0.8657753869316241,3,193.77326160794874,"High Risk Score, Missing ISO27001"
VND-0148,Secure Cloud 148,Software,87,HIGH,0.8780555831620488,3,193.74166749486147,"High Risk Score, Active Access After Contract Expiry, Missing ISO27001, Expired Certifications"
VND-0170,Quantum Cloud 170,Consulting,86,HIGH,0.8815095316630148,3,193.64528594989042,"High Risk Score, Missing SOC2, Missing ISO27001, High Data Sensitivity"
VND-0304,Prime Labs 304,Software,85,HIGH,0.8854660258731611,3,193.56398077619482,"High Risk Score, Missing SOC2, Missing ISO27001"
VND-0282,Blue Services 282,Consulting,86,HIGH,0.878147268866995,3,193.54441806600983,"High Risk Score, Missing SOC2, Missing ISO27001"
VND-0072,Quantum Partners 72,Data Analytics,83,HIGH,0.8971376888192342,3,193.514130664577,"High Risk Score, Missing ISO27001, High Data Sensitivity"
VND-0093,Blue Services 93,Compliance,85,HIGH,0.8746785713711333,3,193.24035714113398,"High Risk Score, Missing SOC2, Missing ISO27001"
VND-0044,Blue Services 44,Cloud Services,83,HIGH,0.8866611733297272,3,193.1998351998918,"High Risk Score, Missing SOC2, Missing ISO27001"
VND-0302,Prime Partners 302,Infrastructure,81,HIGH,0.8884742691369322,3,192.85422807410797,"High Risk Score, Missing SOC2, Missing ISO27001"
VND-0115,Apex Solutions 115,Compliance,84,HIGH,0.8642425409599237,3,192.72727622879773,"High Risk Score, Active Access After Contract Expiry"
VND-0307,Titan Analytics 307,Security,90,HIGH,0.8199377926429061,3,192.5981337792872,"High Risk Score, Missing SOC2, Missing ISO27001"
VND-0179,Nova Networks 179,Payment Processing,84,HIGH,0.8578713420984974,3,192.53614026295492,"High Risk Score, Missing SOC2, Missing ISO27001"
VND-0177,Vertex Partners 177,Infrastructure,82,HIGH,0.8710861504054715,3,192.53258451216416,"High Risk Score, Missing ISO27001"
VND-0078,Apex Labs 78,Software,82,HIGH,0.8707931354059606,3,192.52379406217884,"High Risk Score, Active Access After Contract Expiry"
VND-0287,Titan Solutions 287,Infrastructure,90,HIGH,0.8066135736386802,3,192.1984072091604,"High Risk Score, Missing SOC2, Missing ISO27001, Recent Breach"
VND-0147,Nova Systems 147,Data Analytics,82,HIGH,0.8521477256834196,3,191.96443177050259,"High Risk Score, Missing ISO27001"
VND-0133,Titan Networks 133,Data Analytics,93,HIGH,0.7749431035897946,3,191.84829310769382,"High Risk Score, Missing SOC2, Missing ISO27001"
VND-0107,Prime Cloud 107,Software,82,HIGH,0.8478024270394395,3,191.83407281118318,High Risk Score
VND-0061,Blue Partners 61,Consulting,86,HIGH,0.8183319604612851,3,191.74995881383853,"High Risk Score, Active Access After Contract Expiry, Missing SOC2, Missing ISO27001, Recent Breach"
VND-0018,Nova Analytics 18,Infrastructure,81,HIGH,0.8515787821809888,3,191.74736346542966,"High Risk Score, Missing SOC2"
VND-0144,Blue Solutions 144,Software,75,HIGH,0.8874234348414979,3,191.62270304524495,Expired Certifications
VND-0214,Blue Networks 214,Infrastructure,80,HIGH,0.8437636653553465,3,191.3129099606604,"Missing ISO27001, Expired Certifications, High Data Sensitivity"
VND-0161,Blue Networks 161,Software,89,HIGH,0.7818480127655075,3,191.25544038296525,High Risk Score
VND-0192,Blue Systems 192,Consulting,94,HIGH,0.7466289050931162,3,191.1988671527935,"High Risk Score, Missing ISO27001"
VND-0296,Blue Partners 296,Compliance,91,HIGH,0.7571394525451864,3,190.91418357635558,"High Risk Score, Missing ISO27001"
VND-0253,Quantum Networks 253,Security,81,HIGH,0.8224324274087444,3,190.8729728222623,High Risk Score
VND-0120,Nova Cloud 120,Cloud Services,78,HIGH,0.8313881725547989,3,190.54164517664395,"Missing SOC2, Expired Certifications, High Data Sensitivity"
VND-0194,Secure Analytics 194,Software,80,HIGH,0.8159600760456275,3,190.47880228136881,"Active Access After Contract Expiry, Expired Certifications"
VND-0128,Titan Partners 128,Data Analytics,77,HIGH,0.8358947569330876,3,190.47684270799263,Expired Certifications
VND-0010,Nova Analytics 10,Software,81,HIGH,0.8039727503078484,3,190.31918250923545,"High Risk Score, Active Access After Contract Expiry, Missing ISO27001"
VND-0088,Secure Analytics 88,Software,71,HIGH,0.8696400263939569,3,190.2892007918187,"Expired Certifications, High Data Sensitivity"
VND-0050,Blue Partners 50,Cloud Services,75,HIGH,0.8285185900390201,3,189.8555577011706,"Active Access After Contract Expiry, Missing SOC2, Expired Certifications"
VND-0193,Apex Networks 193,Data Analytics,77,HIGH,0.8070831285549629,3,189.61249385664888,"Missing ISO27001, Expired Certifications"
VND-0258,Quantum Services 258,Compliance,73,HIGH,0.8066340102505904,3,188.7990203075177,"Active Access After Contract Expiry, Expired Certifications"
VND-0149,Titan Solutions 149,Payment Processing,87,HIGH,0.70870331801557,3,188.66109954046712,"High Risk Score, Active Access After Contract Expiry"
VND-0309,Vertex Analytics 309,Consulting,70,HIGH,0.8212065139794563,3,188.63619541938368,Expired Certifications
VND-0041,Secure Services 41,Compliance,75,HIGH,0.7831875903070532,3,188.4956277092116,"Active Access After Contract Expiry, Missing SOC2, Expired Certifications"
VND-0329,Titan Partners 329,Payment Processing,70,HIGH,0.8159159921415362,3,188.47747976424608,"Active Access After Contract Expiry, Expired Certifications"
VND-0090,Vertex Services 90,Security,75,HIGH,0.7776673431482527,3,188.3300202944476,"Missing SOC2, Expired Certifications"
VND-0350,Nova Networks 350,Data Analytics,89,HIGH,0.6818800897452598,3,188.2564026923578,"High Risk Score, Active Access After Contract Expiry, Missing SOC2, Missing ISO27001"
VND-0391,Vertex Solutions 391,Payment Processing,83,HIGH,0.7205895145153086,3,188.21768543545926,"High Risk Score, Active Access After Contract Expiry"
VND-0215,Titan Solutions 215,Compliance,63,HIGH,0.8526756106176854,3,188.18026831853055,Expired Certifications
VND-0089,Secure Services 89,Cloud Services,75,HIGH,0.7702828435358424,3,188.10848530607527,Expired Certifications
VND-0323,Secure Partners 323,Payment Processing,84,HIGH,0.7028833088233177,3,187.88649926469955,"High Risk Score, Missing ISO27001"
VND-0039,Secure Labs 39,Cloud Services,70,HIGH,0.7960004158702025,3,187.88001247610606,"Missing ISO27001, Expired Certifications, High Data Sensitivity"
VND-0020,Titan Solutions 20,Cloud Services,86,HIGH,0.6827182754113679,3,187.68154826234104,"High Risk Score, Expired Certifications"
VND-0003,Nova Labs 3,Software,69,HIGH,0.7907770187525227,3,187.5233105625757,"Active Access After Contract Expiry, Expired Certifications, High Data Sensitivity"
VND-0220,Nova Services 220,Infrastructure,88,HIGH,0.6619556451612902,3,187.4586693548387,"High Risk Score, Expired Certifications"
VND-0073,Vertex Partners 73,Consulting,70,HIGH,0.776595036458754,3,187.29785109376263,"Active Access After Contract Expiry, Expired Certifications"
VND-0333,Secure Cloud 333,Data Analytics,86,HIGH,0.6470682302771854,3,186.61204690831556,"High Risk Score, Expired Certifications, High Data Sensitivity"
VND-0134,Quantum Labs 134,Cloud Services,62,HIGH,0.8058311320309548,3,186.57493396092866,"Missing ISO27001, Expired Certifications"
VND-0191,Blue Analytics 191,Consulting,80,HIGH,0.667570635279115,3,186.02711905837344,Expired Certifications
VND-0141,Vertex Solutions 141,Security,67,HIGH,0.7536121370655487,3,186.00836411196647,"Active Access After Contract Expiry, Missing ISO27001, Expired Certifications"
VND-0203,Apex Networks 203,Data Analytics,64,HIGH,0.7643976597840954,3,185.73192979352288,Expired Certifications
VND-0277,Blue Networks 277,Infrastructure,78,HIGH,0.6705619495264942,3,185.71685848579483,"Active Access After Contract Expiry, Expired Certifications, High Data Sensitivity"
VND-0114,Secure Services 114,Compliance,65,HIGH,0.7508542238937465,3,185.52562671681238,Expired Certifications
VND-0069,Secure Analytics 69,Cloud Services,65,HIGH,0.7347072262733946,3,185.04121678820184,Expired Certifications
VND-0034,Titan Systems 34,Cloud Services,61,HIGH,0.758686394600804,3,184.9605918380241,"Active Access After Contract Expiry, Expired Certifications"
VND-0005,Vertex Cloud 5,Data Analytics,76,HIGH,0.5575,3,181.92499999999998,"Missing ISO27001, Expired Certifications, High Data Sensitivity"
VND-0212,Prime Networks 212,Compliance,71,HIGH,0.545411231770099,3,180.56233695310294,"Active Access After Contract Expiry, Missing SOC2, Expired Certifications"
VND-0317,Prime Services 317,Compliance,64,HIGH,0.46068022051262425,3,176.62040661537873,"Missing ISO27001, Expired Certifications"
VND-0299,Vertex Services 299,Security,77,MEDIUM,0.9214571487740791,2,143.0437144632224,"Active Access After Contract Expiry, Missing ISO27001"
VND-0295,Nova Services 295,Security,77,MEDIUM,0.9207754490765755,2,143.02326347229726,"Active Access After Contract Expiry, Missing SOC2, Missing ISO27001"
VND-0091,Prime Analytics 91,Security,72,MEDIUM,0.934229791832386,2,142.4268937549716,Active Access After Contract Expiry
VND-0278,Quantum Solutions 278,Software,77,MEDIUM,0.9000090149661725,2,142.40027044898517,"Active Access After Contract Expiry, Missing SOC2"
VND-0372,Titan Cloud 372,Security,78,MEDIUM,0.8815263401108294,2,142.04579020332488,"Active Access After Contract Expiry, Missing ISO27001"
VND-0021,Prime Systems 21,Software,76,MEDIUM,0.8852087413013385,2,141.75626223904015,"Active Access After Contract Expiry, Missing SOC2, Missing ISO27001"
VND-0312,Quantum Solutions 312,Payment Processing,70,MEDIUM,0.9109667127642183,2,141.32900138292655,Active Access After Contract Expiry
VND-0210,Titan Labs 210,Consulting,64,MEDIUM,0.9448956619868005,2,141.14686985960404,"Active Access After Contract Expiry, Missing SOC2"
VND-0122,Apex Cloud 122,Cloud Services,73,MEDIUM,0.8838457886077588,2,141.11537365823276,"Active Access After Contract Expiry, Missing ISO27001"
VND-0222,Blue Solutions 222,Infrastructure,63,MEDIUM,0.940314501316642,2,140.80943503949925,Active Access After Contract Expiry
VND-0394,Nova Analytics 394,Security,64,MEDIUM,0.9276147974288904,2,140.62844392286672,Active Access After Contract Expiry
VND-0245,Nova Analytics 245,Software,75,MEDIUM,0.8517701222613135,2,140.55310366783942,"Active Access After Contract Expiry, Missing ISO27001, High Data Sensitivity"
VND-0188,Quantum Partners 188,Infrastructure,66,MEDIUM,0.911364937496496,2,140.54094812489487,"Active Access After Contract Expiry, Missing ISO27001, Recent Breach"
VND-0204,Nova Labs 204,Compliance,70,MEDIUM,0.8842080618618736,2,140.5262418558562,"Active Access After Contract Expiry, Missing ISO27001"
VND-0257,Blue Analytics 257,Consulting,59,MEDIUM,0.9522523873188317,2,140.36757161956496,"Active Access After Contract Expiry, Missing ISO27001"
VND-0113,Blue Networks 113,Data Analytics,66,MEDIUM,0.9021038286926941,2,140.26311486078083,"Active Access After Contract Expiry, Missing ISO27001"
VND-0025,Titan Partners 25,Data Analytics,72,MEDIUM,0.8614625434138339,2,140.243876302415,"Active Access After Contract Expiry, Missing SOC2, Missing ISO27001"
VND-0029,Titan Partners 29,Cloud Services,66,MEDIUM,0.8975618518336893,2,140.12685555501068,"Active Access After Contract Expiry, Missing SOC2"
VND-0162,Quantum Services 162,Cloud Services,73,MEDIUM,0.8487900082238394,2,140.06370024671517,Active Access After Contract Expiry
VND-0250,Quantum Systems 250,Payment Processing,61,MEDIUM,0.9245869992566706,2,139.9376099777001,"Active Access After Contract Expiry, Missing SOC2, Missing ISO27001"
VND-0399,Nova Analytics 399,Compliance,62,MEDIUM,0.9117487749216333,2,139.752463247649,"Active Access After Contract Expiry, Missing SOC2, Missing ISO27001, High Data Sensitivity"
VND-0094,Nova Analytics 94,Infrastructure,72,MEDIUM,0.843285784930138,2,139.69857354790415,"Active Access After Contract Expiry, Missing SOC2, Missing ISO27001, High Data Sensitivity"
VND-0235,Nova Solutions 235,Consulting,80,MEDIUM,0.78673549677164,2,139.6020649031492,Recent Breach
VND-0007,Apex Solutions 7,Software,58,MEDIUM,0.9326416060122574,2,139.57924818036773,"Active Access After Contract Expiry, Missing SOC2, Missing ISO27001"
VND-0112,Secure Solutions 112,Software,59,MEDIUM,0.9238651685393259,2,139.5159550561798,"Expired Certifications, Recent Breach"
VND-0142,Vertex Labs 142,Cloud Services,60,MEDIUM,0.9135348719404811,2,139.40604615821445,"Active Access After Contract Expiry, Missing SOC2, Missing ISO27001"
VND-0048,Secure Services 48,Consulting,56,MEDIUM,0.9347485370015579,2,139.24245611004673,"Active Access After Contract Expiry, Missing ISO27001"
VND-0325,Blue Services 325,Data Analytics,52,MEDIUM,0.9607301085686991,2,139.22190325706097,"Active Access After Contract Expiry, Missing SOC2"
VND-0015,Quantum Analytics 15,Cloud Services,80,MEDIUM,0.7656136777768664,2,138.968410333306,"Missing SOC2, Missing ISO27001, Recent Breach"
VND-0200,Vertex Systems 200,Consulting,55,MEDIUM,0.9317769272841054,2,138.95330781852317,Active Access After Contract Expiry
VND-0400,Secure Services 400,Infrastructure,60,MEDIUM,0.8962502880756005,2,138.88750864226802,"Missing ISO27001, Expired Certifications"
VND-0098,Titan Solutions 98,Cloud Services,63,MEDIUM,0.8715792798193115,2,138.74737839457936,"Active Access After Contract Expiry, Missing SOC2"
VND-0248,Apex Systems 248,Data Analytics,50,MEDIUM,0.9501537528414535,2,138.5046125852436,"Active Access After Contract Expiry, Missing SOC2, Missing ISO27001"
VND-0228,Secure Systems 228,Consulting,66,MEDIUM,0.8415585076884081,2,138.44675523065223,Active Access After Contract Expiry
VND-0336,Vertex Solutions 336,Cloud Services,56,MEDIUM,0.9077719172860682,2,138.43315751858205,"Expired Certifications, Recent Breach"
VND-0389,Apex Solutions 389,Security,66,MEDIUM,0.8401015563302086,2,138.40304668990626,"Active Access After Contract Expiry, Missing SOC2"
VND-0016,Blue Analytics 16,Consulting,56,MEDIUM,0.9049448612617279,2,138.34834583785184,Expired Certifications
VND-0339,Vertex Systems 339,Cloud Services,56,MEDIUM,0.9040394384887539,2,138.3211831546626,"Active Access After Contract Expiry, Missing SOC2, Missing ISO27001, Recent Breach"
VND-0036,Apex Analytics 36,Software,52,MEDIUM,0.9305516178936408,2,138.31654853680922,"Active Access After Contract Expiry, Missing ISO27001, Expired Certifications"
VND-0262,Secure Systems 262,Software,60,MEDIUM,0.876002278971029,2,138.28006836913087,"Active Access After Contract Expiry, Missing SOC2, Expired Certifications"
VND-0362,Secure Systems 362,Cloud Services,58,MEDIUM,0.8839903857711938,2,138.11971157313582,Expired Certifications
VND-0070,Quantum Services 70,Cloud Services,54,MEDIUM,0.9063837412810644,2,137.99151223843194,"Active Access After Contract Expiry, Missing ISO27001"
VND-0118,Vertex Partners 118,Compliance,49,MEDIUM,0.9331304647152272,2,137.79391394145682,"Active Access After Contract Expiry, Missing ISO27001"
